modeliPhone 6s Plus,image0,edge
tagCar,bbox0,edge
bbox0,image0,edge
tagHuman,bbox1,edge
bbox1,image0,edge
tagPerson,bbox2,edge
bbox2,image0,edge
tagPerson,bbox3,edge
bbox3,image0,edge
tagPerson,bbox4,edge
bbox4,image0,edge
tagPerson,bbox5,edge
bbox5,image0,edge
tagPerson,bbox6,edge
bbox6,image0,edge
tagPerson,bbox7,edge
bbox7,image0,edge
countryUnited States of America,stateCalifornia,edge
stateCalifornia,citySan Francisco,edge
citySan Francisco,image0,edge
modeliPhone 6s Plus,image1,edge
tagCar,bbox8,edge
bbox8,image1,edge
tagTree,bbox9,edge
bbox9,image1,edge
tagTree,bbox10,edge
bbox10,image1,edge
countryUnited States of America,stateCalifornia,edge
stateCalifornia,citySan Francisco,edge
citySan Francisco,image1,edge
modeliPhone 7,image2,edge
tagTree,bbox11,edge
bbox11,image2,edge
tagPerson,bbox12,edge
bbox12,image2,edge
tagPerson,bbox13,edge
bbox13,image2,edge
tagPerson,bbox14,edge
bbox14,image2,edge
tagPerson,bbox15,edge
bbox15,image2,edge
tagPerson,bbox16,edge
bbox16,image2,edge
tagHuman,bbox17,edge
bbox17,image2,edge
tagPlant,bbox18,edge
bbox18,image2,edge
tagTree,bbox19,edge
bbox19,image2,edge
tagOutdoors,bbox20,edge
bbox20,image2,edge
tagNature,bbox21,edge
bbox21,image2,edge
tagFace,bbox22,edge
bbox22,image2,edge
countryUnited States of America,stateWashington,edge
stateWashington,city ofWashington,edge
city ofWashington,image2,edge
model,image3,edge
tagFace,bbox23,edge
bbox23,image3,edge
tagPerson,bbox24,edge
bbox24,image3,edge
tagShirt,bbox25,edge
bbox25,image3,edge
tagBoat,bbox26,edge
bbox26,image3,edge
tagBoat,bbox27,edge
bbox27,image3,edge
tagPerson,bbox28,edge
bbox28,image3,edge
tagBoat,bbox29,edge
bbox29,image3,edge
tagCanoe,bbox30,edge
bbox30,image3,edge
tagTransportation,bbox31,edge
bbox31,image3,edge
